12 27 2018 02:27:43,0.01,-0.91,-0.4
12 27 2018 02:28:43,0.01,-0.91,-0.4
12 27 2018 02:29:43,0.01,-0.91,-0.4
12 27 2018 02:30:43,0.01,-0.91,-0.41
12 27 2018 02:31:43,0.01,-0.91,-0.4
12 27 2018 02:32:43,0.01,-0.91,-0.4
12 27 2018 02:33:43,0.01,-0.91,-0.4
12 27 2018 02:34:43,0.01,-0.91,-0.4
12 27 2018 02:35:44,0.01,-0.91,-0.4
12 27 2018 02:36:44,0.01,-0.91,-0.41
12 27 2018 02:37:44,0.01,-0.91,-0.41
12 27 2018 02:38:44,0.01,-0.91,-0.4
12 27 2018 02:39:44,0.01,-0.91,-0.4
12 27 2018 02:40:44,0.01,-0.91,-0.4
12 27 2018 02:41:44,0.01,-0.91,-0.4
12 27 2018 02:42:44,0.01,-0.91,-0.4
12 27 2018 02:43:44,0.01,-0.91,-0.4
12 27 2018 02:44:44,0.01,-0.91,-0.41
12 27 2018 02:45:44,0.01,-0.91,-0.4
12 27 2018 02:46:44,0.01,-0.91,-0.4
12 27 2018 02:47:44,0.01,-0.91,-0.41
12 27 2018 02:48:44,0.01,-0.91,-0.41
12 27 2018 02:49:44,0.01,-0.91,-0.4
12 27 2018 02:50:44,0.01,-0.91,-0.4
12 27 2018 02:51:44,0.01,-0.91,-0.4
12 27 2018 02:52:44,0.01,-0.91,-0.4
12 27 2018 02:53:45,0.01,-0.91,-0.4
12 27 2018 02:54:45,0.01,-0.91,-0.4
12 27 2018 02:55:45,0.01,-0.91,-0.4
12 27 2018 02:56:45,0.01,-0.91,-0.4
12 27 2018 02:57:45,0.01,-0.91,-0.4
12 27 2018 02:58:45,0.01,-0.91,-0.4
12 27 2018 02:59:45,0.01,-0.91,-0.4
12 27 2018 03:00:45,0.01,-0.91,-0.4
12 27 2018 03:01:45,0.01,-0.91,-0.4
12 27 2018 03:02:45,0.01,-0.91,-0.4
12 27 2018 03:03:45,0.01,-0.91,-0.4
12 27 2018 03:04:45,0.01,-0.91,-0.4
12 27 2018 03:05:45,0.01,-0.91,-0.4
12 27 2018 03:06:45,0.01,-0.91,-0.4
12 27 2018 03:07:45,0.01,-0.91,-0.41
12 27 2018 03:08:45,0.01,-0.91,-0.4
12 27 2018 03:09:45,0.01,-0.91,-0.4
12 27 2018 03:10:45,0.01,-0.91,-0.4
12 27 2018 03:11:45,0.01,-0.91,-0.41
12 27 2018 03:12:46,0.01,-0.91,-0.41
12 27 2018 03:13:46,0.01,-0.91,-0.4
12 27 2018 03:14:46,0.01,-0.91,-0.4
12 27 2018 03:15:46,0.01,-0.91,-0.4
12 27 2018 03:16:46,0.01,-0.91,-0.4
12 27 2018 03:17:46,0.01,-0.91,-0.41
12 27 2018 03:18:46,0.01,-0.91,-0.41
12 27 2018 03:19:46,0.01,-0.91,-0.4
12 27 2018 03:20:46,0.01,-0.91,-0.4
12 27 2018 03:21:46,0.01,-0.91,-0.41
12 27 2018 03:22:46,0.01,-0.91,-0.4
12 27 2018 03:23:46,0.01,-0.91,-0.4
12 27 2018 03:24:46,0.01,-0.91,-0.4
12 27 2018 03:25:46,0.01,-0.91,-0.4
12 27 2018 03:26:46,0.01,-0.91,-0.41
12 27 2018 03:27:46,0.01,-0.91,-0.4
12 27 2018 03:28:46,0.01,-0.91,-0.4
12 27 2018 03:29:46,0.01,-0.91,-0.4
12 27 2018 03:30:46,0.01,-0.91,-0.4
12 27 2018 03:31:47,0.01,-0.91,-0.4
12 27 2018 03:32:47,0.01,-0.91,-0.4
12 27 2018 03:33:47,0.01,-0.91,-0.4
12 27 2018 03:34:47,0.01,-0.91,-0.41
12 27 2018 03:35:47,0.01,-0.91,-0.41
12 27 2018 03:36:47,0.01,-0.91,-0.4
12 27 2018 03:37:47,0.01,-0.91,-0.4
12 27 2018 03:38:47,0.01,-0.91,-0.4
12 27 2018 03:39:47,0.01,-0.91,-0.4
12 27 2018 03:40:47,0.01,-0.91,-0.4
12 27 2018 03:41:47,0.01,-0.91,-0.4
12 27 2018 03:42:47,0.01,-0.91,-0.4
12 27 2018 03:43:47,0.01,-0.91,-0.4
12 27 2018 03:44:47,0.01,-0.91,-0.4
12 27 2018 03:45:48,0.01,-0.91,-0.41
12 27 2018 03:46:48,0.01,-0.91,-0.4
12 27 2018 03:47:48,0.01,-0.91,-0.41
12 27 2018 03:48:48,0.01,-0.91,-0.41
12 27 2018 03:49:48,0.01,-0.91,-0.41
12 27 2018 03:50:48,0.01,-0.91,-0.4
12 27 2018 03:51:48,0.01,-0.91,-0.4
12 27 2018 03:52:48,0.01,-0.91,-0.4
12 27 2018 03:53:48,0.01,-0.91,-0.4
12 27 2018 03:54:48,0.01,-0.91,-0.4
12 27 2018 03:55:48,0.01,-0.91,-0.41
12 27 2018 03:56:48,0.01,-0.91,-0.4
12 27 2018 03:57:48,0.01,-0.91,-0.4
12 27 2018 03:58:48,0.01,-0.91,-0.4
12 27 2018 03:59:48,0.01,-0.91,-0.41
12 27 2018 04:00:48,0.01,-0.91,-0.4
12 27 2018 04:01:49,0.01,-0.91,-0.4
12 27 2018 04:02:49,0.01,-0.91,-0.4
12 27 2018 04:03:49,0.01,-0.91,-0.4
12 27 2018 04:04:49,0.01,-0.91,-0.4
12 27 2018 04:05:49,0.01,-0.91,-0.4
12 27 2018 04:06:49,0.01,-0.91,-0.4
12 27 2018 04:07:49,0.01,-0.91,-0.41
12 27 2018 04:08:49,0.01,-0.91,-0.4
12 27 2018 04:09:49,0.01,-0.91,-0.4
12 27 2018 04:10:49,0.01,-0.91,-0.4
12 27 2018 04:11:49,0.01,-0.91,-0.4
12 27 2018 04:12:49,0.01,-0.91,-0.4
12 27 2018 04:13:49,0.01,-0.91,-0.4
12 27 2018 04:14:49,0.01,-0.91,-0.4
12 27 2018 04:15:49,0.01,-0.91,-0.4
12 27 2018 04:16:49,0.01,-0.91,-0.4
12 27 2018 04:17:50,0.01,-0.91,-0.4
12 27 2018 04:18:50,0.01,-0.91,-0.4
12 27 2018 04:19:50,0.01,-0.91,-0.4
12 27 2018 04:20:50,0.01,-0.91,-0.4
12 27 2018 04:21:50,0.01,-0.91,-0.4
12 27 2018 04:22:50,0.01,-0.91,-0.4
12 27 2018 04:23:50,0.01,-0.91,-0.4
12 27 2018 04:24:50,0.01,-0.91,-0.4
12 27 2018 04:25:50,0.01,-0.91,-0.4
12 27 2018 04:26:50,0.01,-0.91,-0.4
12 27 2018 04:27:50,0.01,-0.91,-0.4
12 27 2018 04:28:50,0.01,-0.91,-0.4
12 27 2018 04:29:50,0.01,-0.91,-0.4
12 27 2018 04:30:50,0.01,-0.91,-0.41
12 27 2018 04:31:50,0.01,-0.91,-0.41
12 27 2018 04:32:50,0.01,-0.91,-0.4
12 27 2018 04:33:50,0.01,-0.91,-0.4
12 27 2018 04:34:51,0.01,-0.91,-0.4
12 27 2018 04:35:51,0.01,-0.91,-0.4
12 27 2018 04:36:51,0.01,-0.91,-0.4
12 27 2018 04:37:51,0.01,-0.91,-0.4
12 27 2018 04:38:51,0.01,-0.91,-0.41
12 27 2018 04:39:51,0.01,-0.91,-0.4
12 27 2018 04:40:51,0.01,-0.91,-0.4
12 27 2018 04:41:51,0.01,-0.91,-0.4
12 27 2018 04:42:51,0.01,-0.91,-0.4
12 27 2018 04:43:51,0.01,-0.91,-0.4
12 27 2018 04:44:51,0.01,-0.91,-0.4
12 27 2018 04:45:51,0.01,-0.91,-0.4
12 27 2018 04:46:51,0.01,-0.91,-0.4
12 27 2018 04:47:51,0.01,-0.91,-0.4
12 27 2018 04:48:51,0.01,-0.91,-0.4
12 27 2018 04:49:51,0.01,-0.91,-0.4
12 27 2018 04:50:51,0.01,-0.91,-0.4
12 27 2018 04:51:52,0.01,-0.91,-0.4
12 27 2018 04:52:52,0.01,-0.91,-0.4
12 27 2018 04:53:52,0.01,-0.91,-0.41
12 27 2018 04:54:52,0.01,-0.91,-0.4
12 27 2018 04:55:52,0.01,-0.91,-0.4
12 27 2018 04:56:52,0.01,-0.91,-0.41
12 27 2018 04:57:52,0.01,-0.91,-0.4
12 27 2018 04:58:52,0.01,-0.91,-0.41
12 27 2018 04:59:52,0.01,-0.91,-0.4
12 27 2018 05:00:52,0.01,-0.91,-0.4
12 27 2018 05:01:52,0.01,-0.91,-0.4
12 27 2018 05:02:52,0.01,-0.91,-0.4
12 27 2018 05:03:52,0.01,-0.91,-0.4
12 27 2018 05:04:52,0.01,-0.91,-0.41
12 27 2018 05:05:52,0.01,-0.91,-0.4
12 27 2018 05:06:52,0.01,-0.91,-0.4
12 27 2018 05:07:52,0.01,-0.91,-0.41
12 27 2018 05:08:52,0.01,-0.91,-0.4
12 27 2018 05:09:53,0.01,-0.91,-0.4
12 27 2018 05:10:53,0.01,-0.91,-0.4
12 27 2018 05:11:53,0.01,-0.91,-0.4
12 27 2018 05:12:53,0.01,-0.91,-0.4
12 27 2018 05:13:53,0.01,-0.91,-0.4
12 27 2018 05:14:53,0.01,-0.91,-0.4
12 27 2018 05:15:53,0.01,-0.91,-0.4
12 27 2018 05:16:53,0.01,-0.91,-0.4
12 27 2018 05:17:53,0.01,-0.91,-0.41
12 27 2018 05:18:53,0.01,-0.91,-0.41
12 27 2018 05:19:53,0.01,-0.91,-0.4
12 27 2018 05:20:53,0.01,-0.91,-0.4
12 27 2018 05:21:53,0.01,-0.91,-0.4
12 27 2018 05:22:53,0.01,-0.91,-0.4
12 27 2018 05:23:53,0.01,-0.91,-0.4
12 27 2018 05:24:53,0.01,-0.91,-0.4
12 27 2018 05:25:53,0.01,-0.91,-0.4
12 27 2018 05:26:54,0.01,-0.91,-0.41
12 27 2018 05:27:54,0.01,-0.91,-0.4
